,index,Stilling id,Stillingsbeskrivelse vasket,Registrert dato,Arbeidssted fylke,Arbeidssted land,Yrke grovgruppe
307,68512,9592625,"Jobbnorge ID: 139401. Til vår butikk. søker vi nå etter flere kundefokuserte og serviceinnstilte butikkmedarbeidere helg. Arbeidstid vil hovedsakelig være annen hver lørdag. Det må også påregnes økt tilkalling ved behov sesong. Som butikkmedarbeider vil dine sentrale arbeidsoppgaver være.  Kundeservice. Kassearbeid. Varepåfylling. Annet forefallende butikkarbeid. Hva ser vi etter. Engasjerte og positive butikkmedarbeidere med kunden i fokus. Du er arbeidsom og trives med fysisk butikkarbeid. Du jobber godt selvstendig og i team. Du er ærlig, pliktoppfyllende og ansvarsfull . Du er over 18 år og behersker norsk godt. Hva kan du forvente av oss. I. er vi opptatt av å ta vare på og utvikle våre talenter. Vi tilbyr gode utviklingsmuligheter gjennom blant annet vårt interne ledertreningsprogram, og årlige salg og service kurs. Vi er en trygg arbeidsgiver, og vi tilbyr konkurransedyktig betingelser.  . Søknad, CV og vedlegg sendes elektronisk via lenke på dnene siden, ""Søk stillingen"". Søknadsfrist: 25. 06. 2017. Se annonsen og søk på stillingen www. jobbnorge. no",2017-06-09,Nordland,Norge,Butikk- og salgsarbeid
308,68891,9666983,"Kundeservice AS har hovedkontor i Saltdal og har avdelingskontor i Oslo, Drammen, Vestfold, Nordland, Troms og Finnmark. Vi jobber med brannsikkerhet til private og bedrifter.  Vi monterer og har årlig service hos våre kunder. Vil du være med å gjøre folks hverdag trygge og bedre. Da er dette rette plassen for deg. Vi søker selgere for oppfølging av eksisterende og nye kunder innen brannsikkerhet. Vi tilbyr.  Full opplæring og oppfølging. Fagrelaterte kurs innen service, førstehjelp og brannsikkerhet. Gode lønnsbetingelser. Godt arbeidsmiljø. Vi ønsker  medarbeidere som liker å omgås kunder og være på farten. Det er en fordel om du har teknisk innsikt da det skal gjennomføres en del montering og årlig service. Godt humør og at du liker å stå på er er ønskelig. Send søknad og CV til.  . Besøk oss gjerne på vår hjemmeside: www. ks. norge. no. Det vil være et pluss om du har utdannelse innen brannsikkerhet, rødt eller grønt sertifikat eller har erfaring som brannmann ingeniør eller feier. ",2017-11-09,Nordland,Norge,Butikk- og salgsarbeid
309,69185,9618739,"Vi søker etter kjøkkenselger til vår butikk. Som kjøkkenselger hos oss er du flink til å kommunisere og oppnår gode resultater. Du liker å møte nye kunder og bryne deg på ulike oppgaver hver dag. Kreative løsninger og nøyaktighet er egenskaper du behersker, og som bidrar til at de som kjøper kjøkken hos deg anbefaler deg til naboen. Utstillingen ser alltid tipp topp ut når du er på vakt, og du har ingen problem med å jobbe selvstendig. Noe erfaring fra kjøkken. og hvitevaresalg kan være en fordel, men ikke et krav. Personlige egenskaper.  Du er en serviceorientert person som vet at kunden er viktigst. Du har erfaring fra salg og kundeoppfølging. Gode kommunikasjons. , samarbeids. og relasjonsevner. Detaljorientert og nøyaktig. Interesse for interiør og design. Arbeidsoppgaver.  Kundebehandling og oppfølgning av kunder. Legge frem forslag og hjelpe kunden til å ta en beslutning. Maksimere salg og lønnsomhet innenfor kategorien kjøkken, bad og garderobe. Sørge for at kjøkkenutstilling og området er ryddig og kundevennlig. Ansvar for bestilling og leveranse. Lønn etter avtale. Spørsmål angående stillingen rettes til butikkleder. på tlf. eller på e. post. Søknad sendes til. ",2017-08-14,Nordland,Norge,Butikk- og salgsarbeid
310,69612,9660264,". Lindex er en av Europas største motekjeder og i kraftig ekspansjon. Konsernet har totalt ca 5000 ansatte, og omsetter årlig for mer enn fem milliarder svenske kroner. Virksomheten har omlag 480 butikker lokalisert i Sverige, Norge, Finland, Baltikum, Tsjekkia, Slovakia, Polen, Serbia, Kroatia, Russland og via franchise på Island, i. og Midtøsten. Selskapets hovedkontor ligger i Gøteborg, med produksjonsfilialer i Kina, Tyrkia, India, Pakistan og Bangladesh. I Norge har vi 102 butikker og ca 1100 ansatte. Lindex eies av det finske selskapet Stockmann. Vil du arbeide med mote og ønsker en karriere i et stort internasjonalt moteforetak. Er du en selvstendig og selvgående person som får ting til å skje. Den som ansettes skal være butikkens nestleder, og butikksjefens nærmeste støttespiller i ulike spørsmål som gjelder arbeidet i butikken. Dersom du i dag arbeider som butikksjef i en mindre motebutikk og ønsker å arbeide i et internasjonalt moteforetak i vekst, eller du har ambisjoner om å lede en slik butikk, kan du være rette personen for oss. Assisterende butikksjef rapporterer til butikksjefen, og i dennes fravær overtar vedkommende ansvaret for butikkdriften. Som assisterende butikksjef forutsettes det at du har følgende egenskaper og kvalifikasjoner.  er en resultatorientert og serviceinnstilt kremmer. minimum har gjennomført og bestått 3. årig videregående skole, med studiekompetanse. er en voksen person med gode samarbeidsevner, som tar ledelsen når dette er nødvendig. er kommunikativ og initiavrik. har gode norsk. og engelskkunnskaper, både skriftlig og muntlig. har gode datakunnskaper. Stillingen er på 30 timer pr uke. Arbeidstiden er varierende, og man må påregne å jobbe kveld, samt to lørdager i måneden. Vi tilbyr en spennende arbeidsplass med gode utviklingsmuligheter og ordnede arbeidsforhold, gode forsikringsordninger og gunstige personalrabatter. Vil du vite mer om stillingen ta kontakt med butikksjef Karoline N. Fjellstad på telefon. Dersom du er interessert i stillingen, bes du sende inn din søknad via søknadsportalen på denne siden. Søknad uten attester og vitnemål vil ikke bli vurdert. Søknadsfrist 15. 11. 2017. Tiltredelse snarest. ",2017-10-30,Nordland,Norge,Butikk- og salgsarbeid
311,69659,9516431,". JOBB MED DET DU ELSKER.  Norges største sportskjede, G. Sport, søker en dyktig deltidsmedarbeider tilkallingshjelp med vinnerinstinkt og hjerte for sport. Vi ser for oss at du jobber x dager kvelder lørdager pr uke. Som selger av ski og sykler i «butikk» skal du sørge for at våre kunder får bransjens beste service. Du er en lagspiller som elsker sport og salg, og motiveres av å skape gode resultater. . Du sørger for at kundene våre får en god handleopplevelse, og svært god faglig veiledning. Din avdeling ser til enhver tid ryddig og innbydende ut. Gjennomføring av kampanjer og salgstiltak, du blir aktiv bruker av vårt web. baserte kampanjeverktøy. Du har glødende interesse for ski og sykkel, og ønsker å lære mest mulig om produktenes tekniske egenskaper. . . Enten gjennom egen aktivitet innen en eller flere idrettsgrener, eller fra butikk leverandør. Det er viktig at du kan noe rundt det tekniske innen ski sykkel, og ønsker å tilegne deg mer kunnskap. . . Skape godt arbeidsmiljø ved å være en god kollega og positiv bidragsyter. Som selger skal du aktivt delta for å nå butikkens og avdelingens målsetning. . Hver dag sørger du for at våre kunder får en optimal handleopplevelse i bransjens mest strøkne butikk. Dette oppnår du gjennom god produktkunnskap, positiv innstilling samt at du er ryddig og løsningsorientert. Du elsker å ta kontakt med kundene og guide de til rett utstyr slik at de får en optimal trenings eller turopplevelse.  . Elsker sport og salg. Positiv og blid, og er glad i å møte nye mennesker. Kremmerånd, du liker å tjene penger. Du ønsker å skape gode resultater. Proaktiv med masse energi. Strukturert og ryddig. Høy arbeidskapasitet. . Du har jobbet i butikk tidligere, gjerne innen sportsbransjen. Godt arbeidsmiljø med utpreget vinnerkultur. Utfordrende og varierte arbeidsoppgaver. Gode utviklingsmuligheter hos G. Sport G. MAX, som er Norges største sportskjede. Svært gode kurs gjennom. . Meget god personalkjøpsordning i G. Sport G. MAXG. MAX, Intersport, VIC, Match og Boys of Europe. Trygg arbeidsplass i et stort og spennende konsern. Konkurransedyktige betingelser. Søk på stillingen. ",2017-01-23,Nordland,Norge,Butikk- og salgsarbeid
312,69764,9562286,"Nå ser vi etter deg som er 18 år eller eldre, har humøret på TOPP og trenger en heltid eller deltidsjobb. Føler du deg truffet. Da kan dette være stillingen for deg.  Er du en dyktig selger eller ønsker du å bli det. Da fortjener du å selge et bra og konkurransedyktig produkt, til et stort og kjøpevillig marked.   Som selger i. vil du jobbe aktivt med å dra på kundebesøk for å selge brann og tyverisikkerhet til privatmarkedet på ettermiddag kveldstid. Du vil ha en hverdag der ingen dager er like, og du vil treffe mange hyggelige og forskjellige mennesker.  Du har kanskje ikke erfaring fra akkurat denne type salg. Det er intet hinder for oss. Vi tilbyr alle som begynner som salgskonsulent i. FULL opplæring og utvikling gjennom salgsskolen. Dette er et kurs i 3 moduler, som er skreddersydd for denne stillingen.  . Å jobbe som selger i. kan gi deg. svært gode og motiverende lønnsbetingelser. en av de beste arbeidsplassene i Norge. fantastiske kollegaer som gjør alt for å bidra til et godt arbeidsmiljø. verdifull arbeidserfaring som er gull verdt senere i din karriere. muligheten til å vinne kule konkurranser, alt fra heder og ære til utenlandsreiser (vi har tidligere vært i Dubai,. , Kroatia, Malta, Bangkok osv). Har du. fylt 18 år. plettfri uttømmende vandelsattest (dvs rent rulleblad). gode norsk kunnskaper . Send din søknad idag. Aktuelle kandidater vil bli kontaktet fortløpende. ",2017-04-18,Nordland,Norge,Butikk- og salgsarbeid
313,69936,9533024,". Vår oppdragsgiver. AS er i sterk vekst, og har ambisjoner om å vokse ytterligere i hele Norge. Til dette salgsoppdraget.  søker vi deg som blir motivert av muligheten til å påvirke egen lønn, og har et sterkt ønske om å skape resultater. I TILLEGG HAR DU.  gode kommunikasjonsevner og godt utviklede sosiale antenner. et ønske om å lære deg både telefonsalg og feltjobbing. kjennskap til PC som arbeidsverktøy. gode holdninger. Salgserfaring er en fordel, men ingen betingelse. Full opplæring og løpende oppfølging vil bli gitt. HOS OSS FÅR DU.  arbeidsplass i trivelige, nyoppussede kontorlokaler, sentralt i Narvik. grundig salgs. og produktopplæring. motiverte og inkluderende kolleger. provisjonsordninger som gir mulighet for meget høy lønn. mulighet til jobbe med gode produkter og effektive salgsverktøy. spennende karrieremuligheter. ",2017-02-21,Nordland,Norge,Butikk- og salgsarbeid
314,70404,9527242,". leder skal videre til nye utfordringer og nå søker vi en engasjert og resultatorientert Daglig leder som kan ta. SA til nye høyder. Som daglig leder i. SA har du total ansvar for drift av. ,. , Go. biten Cafe og Coopenhagen eiendom AS. Du vil sammen med styret og medarbeidere være med på å utvikle butikken videre og bygge en vinnerkultur. Du elsker salg, og trigges av fornøyde kunder. Om dette høres ut som en jobb for deg ser vi frem til å høre fra deg.  . Ansvarlig for salg, budsjett og resultatoppnåelse. Resultatet skaper du gjennom hardt arbeidog ledelse i butikken og i møte med kunden. Personalledelse. Herunder rekrutering, opplæring og utvikling. Skape ett godt miljø gjennom å inspirere og motivere dine medarbeidere.  .  Motivator. Du skaper engasjement og trivsel sammen med dine medarbeidere. Genuint opptatt av kundeservice. Relevant leder erfaring innen varehandel, gjerne dagligvarebransjen. Motiveres av økonomiske resultater. Økonomisk og administrativ utdannelse eller annen økonomisk bakgrunn er ønskelig.  .  Gode utviklings muligheter. Konkurranse dyktige betingelser. Vi er behjelpelig med å skaffe bolig. ",2017-02-10,Nordland,Norge,Butikk- og salgsarbeid
315,70418,9590536,". leter etter den rette personen over 18 år for tre faste vakter i uken både kveldstid og dagtid. Må kunne jobbe helger og ferier. Det vil også være mulighet for flere vakter i perioder. Du må være serviceinnstilt, imøtekommende og ordensmenneske. Du vil jobbe en del alene så du må være ansvarsfull, selvstendig og løsningsorientert. Viktig med god kundekontakt. Interesse for mote er en fordel. Lønn etter avtale. Tiltredelse snarest. Hvis dette høres ut som noe for deg er du velkommen innom med CV og søknad :). ",2017-06-07,Nordland,Norge,Butikk- og salgsarbeid
316,70960,9613746,". POWER Leknes søker butikkmedarbeider vikar frem til 1. januar, 80. stilling. Mulighet for videre arbeid, stillingsprosent etter avtale. Du elsker å vinne, hater å tape. Du må være over 18 år og fleksibel i forhold til arbeidstid. Kvalifikasjoner. Bransjeerfaring butikkerfaring er en fordel. Egenskaper. Du må ha et brennende ønske om å være beste. Du må like å jobbe med salg. Du må være utadvendt og serviceinnstilt. Du må ha glimt i øyet og være inspirerende for våre kunder og kolleger. Du må være resultatorientert, ha godt humør og være ærlig. Lagerarbeid. Salg. Service. Kundebehandling. Utkjøring. Lønn etter avtale. Personalrabatt. Hyggelige kollegaer og godt arbeidsmiljø. Kontaktinformasjon. , Varehussjef. ArbeidsstedStorgt 26. 8370 Leknes. Nøkkelinformasjon.  Ref. nr. For elektronisk søknadsskjema. ",2017-08-01,Nordland,Norge,Butikk- og salgsarbeid
317,71237,9551257,". leder skal videre til nye utfordringer og nå søker vi en engasjert og resultatorientert Daglig leder som kan ta. SA til nye høyder. Som daglig leder i. SA har du total ansvar for drift av. ,. , Go. biten Cafe og Coopenhagen eiendom AS. Du vil sammen med styret og medarbeidere være med på å utvikle butikken videre og bygge en vinnerkultur. Du elsker salg, og trigges av fornøyde kunder. Om dette høres ut som en jobb for deg ser vi frem til å høre fra deg.  . Ansvarlig for salg, budsjett og resultatoppnåelse. Resultatet skaper du gjennom hardt arbeidog ledelse i butikken og i møte med kunden. Personalledelse. Herunder rekrutering, opplæring og utvikling. Skape ett godt miljø gjennom å inspirere og motivere dine medarbeidere.  .  Motivator. Du skaper engasjement og trivsel sammen med dine medarbeidere. Genuint opptatt av kundeservice. Relevant leder erfaring innen varehandel, gjerne dagligvarebransjen. Motiveres av økonomiske resultater. Økonomisk og administrativ utdannelse eller annen økonomisk bakgrunn er ønskelig.  .  Gode utviklings muligheter. Konkurranse dyktige betingelser. Vi er behjelpelig med å skaffe bolig. ",2017-03-24,Nordland,Norge,Butikk- og salgsarbeid
318,71291,9660730,"ISS Mo i Rana søker etter en kantinemedarbeider til kantinen på Nasjonalbiblioteket. Vi søker etter en kantinemedarbeider til ISS sin kantine på Nasjonalbiblioteket på Mo i Rana. Våre kantinemedarbeidere har fokus på kvalitet, service , hygiene og er opptatt av å skape gode driftsresultater. Du har god matfaglig kompetanse og du begeistrer kunden med kreativ og god matlaging. Arbeidsoppgaver. Tilberedning av kald. og varm mat. IK. mat. Kassebetjening. Arbeidstid. Dagtid, mandag. fredag 5 1 2 time hver dag. Ønskede kvalifikasjoner. Erfaring fra kantinedrift. Erfaring med matlaging. Liker personlige og faglige utfordringer. Personlige egenskaper. Strukturert og trives med et høyt arbeidstempo. God ordenssans og gode samarbeidsevner. Gode skriftlige og muntlige norsk kunnskaper. Kan benytte deg av PC. Vi tilbyr. Kurs opplæring og utviklingsmuligheter. Forsikrings. og pensjonsordninger. For å søke på stillingen bruker du elektronisk link. For spørsmål om stillingen ta kontakt med. i ISS på telefon. eller. i Personalhuset på telefon. Søk på stillingen via denne siden. ",2017-10-30,Nordland,Norge,Butikk- og salgsarbeid
319,71571,9509083,Vesterålskraft søker kunderådgivere,2017-01-09,Nordland,Norge,Butikk- og salgsarbeid
320,71713,9613279,". Dette kan passe godt til deg som har samlingsbasert studie eller ønsker deg en hyggelig deltidsjobb. Arbeidsoppgaver. Tilberede varm matSmøre på rundstykkerServeringKassebetjeningSteke vaflerKoke kaffeRenhold og hygiene. Ønskede kvalifikasjoner. Helst erfaring fra kafe, kantineErfaring fra matlagingGode norskkunnskaper. Personlige egenskaper. Humørfylt og positivGod kollegaFleksibel. Vi tilbyr. Hyggelig miljøOrdnede arbeidsforholdGod oppfølging i oppdrag. Arbeidstid. Etter turnus (også helg). Vi ser fram til å høre fra deg. ",2017-07-31,Nordland,Norge,Butikk- og salgsarbeid
321,71733,9613626,". ONLY. ONLY er en etablert og anerkjent kjede med mer enn 300 butikker i Europa og Midtøsten, og vi er fortsatt i vekst. ONLY. merket selges i mer enn 6500 engrosbutikker og er presentert i 23 markeder. ONLY er en del av det internasjonale moteselskapet BESTSELLER. Vi søker en solid Butikksjef med erfaring til vår butikk på. i Bodø. Vi ser etter deg som er full av energi og pågangsmot, har glimt i øyet, men samtidig er en tydelig leder. Du er god til å kommunisere, motivere og til å utvikle de rundt deg. Du har høyt konkurranseinstinkt og gir deg ikke før du har nådd dine mål. Du er proaktiv med egen ""drive"", du leter alltid etter nye måter og utivkle deg selv og de rundt deg. Som leder delegerer du oppgaver og lar de rundt deg ta del i ansvaret. Du er en kjøpmann og en selger til fingerspissen, du motiveres av gode resultater og liker en utfordring. vil ditt hovedansvar være å drive personalet og butikken til utvikling og gode resultater. Du vil ha alt ansvar som går under den daglige drift som vaktplan, varemottak, personalmøter, mål og varetellinger for å nevne noe. ONLY er i ekspansjon og utvikling, vi ønsker å ta med rette kandidaet på vårt eventyr. Hos oss er det høyt under taket, mye energi og action. Vi jobber i et hektisk miljø med mange baller i luften. Vi tilbyr en jobb der ingen dager er like og du får mulighet til å utvikle deg. Er du klar for å bli vår nye Butikksjef. Send din søknad og CV med bilde til. Søknader vil bli behandlet fortløpende. Vi gleder oss til å høre fra deg. ",2017-07-31,Nordland,Norge,Butikk- og salgsarbeid
322,71831,9666701,". ER DU GLAD I Å MØTE NYE MENNESKER. Da ønsker vi å snakke med deg. Livet hos Circle K er travelt døgnet rundt. men vi tror at du vil synes at det er sosialt og morsomt også. Vi er på jakt etter vennlige, hjelpsomme personer som kan sjonglere flere ting om gangen samtidig som de har øye for de små detaljene. Ingen dager er like her, og du vil ha en rekke svært. forskjellige oppgaver, fra å ta hånd om kundene våre til å tilberede mat og bestille varer og etterfylle hyllene. Som gjenytelse for din energi og entusiasme lover vi deg ansvar, mange muligheter til å utvikle deg og verdifull erfaring i et hektisk, utfordrende arbeidsmiljø. Hvis du synes dette høres interessant ut, må vi definitivt snakke sammen. Menneskene våre skiller oss og fra konkurrentene våre og er grunnen til at kundene våre stadig kommer tilbake. Din hovedoppgave hos Circle K vil være å gi enestående, rask og vennlig kundeservice, og sørge for at kundene våre alltid møtes med et smil og litt ekstra oppmerksomhet. Med en positiv holdning og en lyst til å lære og utvikle deg kommer du langt hos Circle K. Vi tar gjerne i mot erfaring fra detaljhandel og service, men det er ikke den viktigste faktoren. Vi er på utkikk etter personer som er motiverte, utadvendte og salgsorienterte, samtidig som de bryr seg. Vi kan lære deg alt det andre. Vis setter stor pris på lagfølelsen i våre butikker. Du kan forvente deg en entusiastisk og sympatisk leder som utfordrer deg til å levere gode resultater og enestående kundeservice. Vi er en stabil, profesjonell arbeidsgiver som tilbyr konkurransedyktige betingelser og mange utviklingsmuligheter. Personlige egenskaper vi synes er viktige inkluderer. Positiv holdning. Salgsorientert. Proaktiv. Detaljorientert. Lagspiller. Fleksibilitet. Omsorgsfull. Er du klar til å gjøre livene til kundene våre enklere. Søknadsfrist. Kontaktperson. Telefonnummer. E. post. ",2017-11-08,Nordland,Norge,Butikk- og salgsarbeid
323,71905,9660645,". AS ble stiftet i år 2000 og driver med salg av bobiler, både nye og brukte. Vi vil i 2017 levere ca 200 bobiler til kunder over hele landet. Vi har godkjent verksted hvor vi utfører både karosseri. og bilreparasjoner i Namsos. Vi er i dag 10 ansatte. Vi ønsker nå å utvide bedriften og åpner derfor avdeling på Tverrlandet i 2018. Arbeidsoppgaver. Drifte hele avdelingen. Salg av kapitalvarer. Oppfølging av nye og eksisterende kunder. Varebestillinger og vedlikehold av sortiment. Delta på salgsmesser. Rapportere til ledelsen. Ansvar for til enhver tid opprettholde en selgende avdeling. Jobbe med internasjonale produsenter. Kvalifikasjoner og egenskaper. Service. og kundeorientert, utadvendt og kontaktskapende. En som er resultatorientert og målbevisst. Interesse for salgsfaget. Kan arbeide selvstendig og samtidig ta gode beslutninger. Må kunne kommunisere på norsk og engelsk. Må ha førerkort kl. B, gjerne også C1. Har evnen til å jobbe selvstendig, planmessig og systematisk, og har god forretningsforståelse. Vi tilbyr. Store utfordringer og gode muligheter for faglig. og personlig utvikling. Produktopplæring. Jobb i en voksende og spennende bransje. Fast lønn. gode provisjon og bonusordninger. Jobbe i et solid og veldrevet selskap som stadig er i vekst. Utviklingsmuligheter, kurs og videreutvikling. For nærmere informasjon kontakt.  tlf. Søknad med CV sendes innen 15. 11. 2017 til e. post.  eller til. AS,. veg 2, 7805 Namsos. ",2017-10-30,Nordland,Norge,Butikk- og salgsarbeid
324,71915,9657078,". AS er per i dag Norges ledende aktør innen field marketing. Vi skaper og organiserer spennende prosjekter og kampanjer innen salg og promotering i hele Norge. Adicio er en innovativ og grensesprengende bedrift, med fokus på utvikling, karriere og arbeidsmiljø. Siden oppstart i 2011 har vi vokst til over 100 ansatte og fikk nylig utmerkelsen som gasellebedrift, knyttet til vår sterke vekst de siste årene. Vi ser etter deg som er reiselysten, som liker kundekontakt og som trives med å jobbe i et team. Adicio er Norges ledende aktør innen feltmarkedsføring, og jobber med salg og promotering på sosiale møtepunkt som kjøpesentre, butikker, messer og festivaler. Vi har nå etablert et reisende team, hvor vi jobber med noen av de største merkevarene på det norske markedet. Salgskurs, produktopplæring og kick. off blir holdt på hovedkontoret i Oslo. Du vil få tett oppfølging av våre ledere. De som viser gode resultater vil også kunne kvalifiserer seg til vårt interne traineeprogram for fremtidens ledere. Vi setter høyt fokus på arbeidsmiljø, med dyktige og energiske medarbeidere. Kulturen er preget av karriereklatring, sosiale arrangementer og flotte konkurranser. Ønsker du å reise Norge rundt med vårt vinnerteam. Da vil vi høre fra deg. Gode kommunikasjonsferdigheter. En naturlig relasjonsbygger. Målrettet og resultatorientert. Kreativ og løsningsorientert. Salgserfaring (et pluss, men ikke et krav). Kan jobbe selvstendig og i team. Lærevillig og ønsker å starte en karriere. Til rett kandidat tilbyr vi. Salgskurs. En variert og dynamisk arbeidsdag. Et inkluderende arbeidsmiljø med dyktige kolleger. Individuell oppfølging fra våre teamledere. Gode lønnsbetingelser. Muligheten til å reise i hele Norge, med dekket transport og overnatting. Månedlige arrangementer og konkurranser. Store karrieremuligheter intern i selskapet. Interessert. Trykk på SØK HER. knappen i annonsen og skriv en kortfattet søknadstekst som beskriver hvorfor nettopp. Spørsmål om stilling rettes til Salgsdirektør.  på. 47. ",2017-10-24,Nordland,Norge,Butikk- og salgsarbeid
325,71932,9602807,"Jobbnorge ID: 140109. Vi trenger sjef til vår butikk. Tjenesten er for tiden i Leknes, og leter etter en dyktig person med ledererfaring, aller helst fra butikk. Vi er dessuten opptatt av at du er god til å samarbeide og at du vil klare å få det beste ut av medarbeiderne i butikken. Det er en fordel om du har økonomisk utdannelse ut over treårig videregående skole, og vi krever at du har grunnleggende datakunnskap. Det er ikke en forutsetning at du har varefaglig kunnskap, men du må være interessert i å lære om produktene vi selger. Dine hovedoppgaver vil være. Resultat. , budsjett. og nøkkeltallansvar. Butikksjefen har ansvaret for at butikken oppnår faste måltall. Kompetanse. og ferdighetsutvikling. Dette omfatter egenutvikling og personalutvikling, samt varefaglig opplæring og kompetanseheving i butikken. Personalansvar for butikkens medarbeidere. Dette innebærer blant annet rekruttering og å bidra til at medarbeidere oppnår fastsatte mål. Vi tilbyr. I Vinmonopolet vil du få anledning til å gjøre en viktig jobb i samarbeid med serviceinnstilte og kompetente kolleger i en av Norges best likte bedrifter. Hos oss får du gode muligheter for varefaglig utvikling i svært godt arbeidsmiljø. Du vil også få tilgang til gode pensjons. og låneordninger gjennom Statens pensjonskasse. I vår organisasjon er det et mål å oppnå en balansert sammensetning når det gjelder alder, kjønn og kulturell bakgrunn. Kontakt distriktssjef .  på telefon .  hvis du vil vite mer om stillingen. Søknad med CV sendes elektronisk via link på denne siden (Søk stillingen). Se annonsen og søk på stillingen www. jobbnorge. no",2017-06-29,Nordland,Norge,Butikk- og salgsarbeid
326,72119,9657501,". Vi ser etter deg som er positiv og liker å yte service. Våre vikarer tilbakemelder at dette er en hyggelig ekstrajobb. vi trenger flere glade kolleger. Dette passer godt til både godt voksne og til studenter, det er viktig at du kan starte kl 12 fredager. Våre medarbeidere som har dette som tilkallingsjobb stortrives. er du glad i mennesker og liker service er dette en hyggelig helgejobb du vil trives i. Jobben er enkel og veldig hyggelig og vi ser etter positive og salgsrettede medarbeidere til disse oppdragene. Arbeidsoppgaver. Presentere pålegg og matvarer i butikkSette opp en liten stand og pakke den ned etter brukFylle inn enkel informasjon på web og ta bilde av stand og butikk . Ønskede kvalifikasjoner. Må kommunisere meget godt på norskOver 18 år . Personlige egenskaper. Positiv og omgjengeligLiker å promotere stå på standServicerettetGlad i mennesker . Vi tilbyr. 180 kr timen Ordnede arbeidsforholdGod oppfølging og vi er bare en telefonsamtale unna Innføring i oppdrag før du starter og underveis om nødvendig . Arbeidstid. Fredag 12. 18. Lørdag 11. 17 .  . Du kan søke stillingen via websiden eller på mail til. ",2017-10-24,Nordland,Norge,Butikk- og salgsarbeid
327,72341,9646763,". Elkjøp er Nordens største aktør innen forbrukerelektronikk og har butikker i Norge, Sverige, Danmark, Finland, Island og på Færøyene og Grønland. I Norge har vi varehus over hele landet, fra Lyngdal i sør til Hammerfest i nord. Selskapet har lang tradisjon og ble dannet helt tilbake i 1962. I dag er vi totalt 2. 500 ansatte som alle jobber mot et felles mål: Å gi våre kunder god verdi for pengene sine, samt en enkel og hyggelig handel. Elkjøp. konsernet er eid av britiske. , som er en av verdens største forhandlere innen forbrukerelektronikk. Har du lett for å snakke med folk, samtidig som du mestrer kunsten å lytte. Da har du gode forutsetninger for å bli en dyktig selger hos oss. Din viktigste jobb som selger i Elkjøp er å finne den perfekte løsningen på alle kunders spørsmål, utfordringer og ønsker. Det er en smal sak for deg, som ønsker å være best i alt du gjør, og som er både resultat. og løsningsorientert. Du elsker å nå målene dine og vi liker å feire sammen med deg når du gjør det. Vil du i tillegg kalle deg selv kunnskapsrik, nysgjerrig og kreativ, er du en meget god kandidat til denne jobben. Interesse for varene og tjenestene vi selger er en fordel, men ikke et krav. Vi har et omfattende opplæringsprogram hvor du kan få kunnskapen og kompetansen du trenger. Å jobbe for Elkjøp er artig, utfordrende og fartsfylt, og som ansatt hos oss er du en del av den største og mest tradisjonsrike aktøren innen elektronikk i Norge. Med stor innsats og pågangsmot kan du nå langt i Elkjøp, for vi liker å gi muligheter til folk som jobber for det. Kulturen vår er viktig for oss, og stort sett alt du gjør som ansatt i Elkjøp kan rotes i våre tre hovedpilarer: Ansvarlighet, engasjement og effektivitet. Din oppgave blir sammen med andre å gjøre kundene våre 100 prosent fornøyd hver dag og å ha det artig i samme slengen. Hos oss kommer du til å få god opplæring, og vi tilbyr konkurransedyktig lønn inkludert bonusavtale, gode karrieremuligheter, finfine personalkjøpsordninger og supre forsikringsavtaler. Synes du dette hørtes gøy ut. Da håper vi du har lyst til å jobbe hos oss. Vi gjør oppmerksom på at vi bruker evne. og personlighetstester i vår rekruttering. ",2017-10-05,Nordland,Norge,Butikk- og salgsarbeid
